dataset,category,policy,guarded,detector,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
RBF,5,immediate,True,hddm_w,-11.801951495770021,-12.266829741721144,-30.582262191998783,18.375003446707456
RBF,5,immediate,True,hellinger,-1.6433930949347086,-1.8182576033555107,-7.842271715036648,2.708426320688393
RBF,6,confirmed,False,adwin,-8.971230598565313,-9.229886490003025,0.0,0.0
RBF,6,confirmed,False,d3_oof,-5.126843423154741,-5.384255285503122,0.0,0.0
RBF,6,confirmed,False,hddm_w,-10.732060048053768,-11.03033628891833,0.0,0.0
RBF,6,confirmed,False,hellinger,-8.416723263523188,-8.670961637415697,0.0,0.0
RBF,6,confirmed,True,adwin,-1.4358000782521696,-1.575056701854945,-21.193426342693744,4.511226693031211
RBF,6,confirmed,True,d3_oof,0.0011421854814841481,-0.014311119380305826,-0.7933868046825351,-1.3392655559900888
RBF,6,confirmed,True,hddm_w,-4.389780010192049,-4.714338956889704,-20.974400525164437,6.728477595157791
RBF,6,confirmed,True,hellinger,-0.3890302784632353,-0.43559639831436403,-6.666947701768296,-0.2691620704920424
RBF,6,immediate,False,adwin,-16.198910071060077,-16.823890352227803,0.0,0.0
RBF,6,immediate,False,d3_oof,-7.508352792221969,-7.782283773459915,0.0,0.0
RBF,6,immediate,False,hddm_w,-17.153166309158717,-17.7274532489694,0.0,0.0
RBF,6,immediate,False,hellinger,-13.523462668073565,-13.99096221168458,0.0,0.0
RBF,6,immediate,True,adwin,-8.47399960323344,-8.788217157083045,-45.848806356717056,12.690772729839258
RBF,6,immediate,True,d3_oof,-0.07171470343591742,-0.15849411864966578,-6.357551189950283,2.1580546106194634
RBF,6,immediate,True,hddm_w,-12.67684047348005,-13.14462208364309,-48.88697604774857,23.470585433418464
RBF,6,immediate,True,hellinger,-4.164332300308245,-4.271557776246682,-12.757136815131494,5.374402878826122
SEA,0,confirmed,False,adwin,2.6697222226780393,3.0751860712935346,,0.0
SEA,0,confirmed,False,d3_oof,1.5630115413583316,1.793824064745279,,0.0
SEA,0,confirmed,False,hddm_w,1.5016312513748058,1.773897028430408,,0.0
SEA,0,confirmed,False,hellinger,2.3915329951539372,2.7942617847308853,,0.0
SEA,0,confirmed,True,adwin,2.2772177256940918,2.6167174618743814,,6.961178045515393
SEA,0,confirmed,True,d3_oof,1.0980634769633624,1.2559963043110283,,1.3386880856760393
