stream,condition,mode,level,left,right,comparison,alarm_rate_difference,poison_alarm_rate_difference,unexposed_alarm_rate_difference,event_recall_difference,detection_delay_difference,seconds_per_100k_difference
RBF_I,RBF_I__s118__clean__none,clean,none,adwin,d3_oof,passive_detector,0.11864406779661019,,0.125,0.6666666666666667,-25.666666666666668,-0.1863186803044907
RBF_I,RBF_I__s118__clean__none,clean,none,adwin,hddm_w,passive_detector,-0.35593220338983056,,-0.375,0.0,3.0,-0.1154000719058483
RBF_I,RBF_I__s118__clean__none,clean,none,adwin,hellinger,passive_detector,0.05084745762711859,,0.125,0.0,-2.666666666666667,-0.012749576756808302
RBF_I,RBF_I__s118__clean__none,clean,none,d3_oof,hddm_w,passive_detector,-0.4745762711864408,,-0.5,-0.6666666666666667,28.666666666666668,0.07091860839864239
RBF_I,RBF_I__s118__clean__none,clean,none,d3_oof,hellinger,passive_detector,-0.0677966101694916,,0.0,-0.6666666666666667,23.0,0.1735691035476824
RBF_I,RBF_I__s118__clean__none,clean,none,hddm_w,hellinger,passive_detector,0.4067796610169492,,0.5,0.0,-5.666666666666667,0.10265049514904
RBF_I,RBF_I__s118__concept__moderate,concept,moderate,adwin,d3_oof,passive_detector,0.4576271186440679,0.8214285714285715,,0.33333333333333337,-22.333333333333332,-0.16434569008803618
RBF_I,RBF_I__s118__concept__moderate,concept,moderate,adwin,hddm_w,passive_detector,-0.30508474576271183,-0.0357142857142857,,0.0,0.9999999999999998,-0.1339783351189301
RBF_I,RBF_I__s118__concept__moderate,concept,moderate,adwin,hellinger,passive_detector,0.4067796610169492,0.8571428571428572,,0.0,-3.3333333333333335,-0.010048335097963
RBF_I,RBF_I__s118__concept__moderate,concept,moderate,d3_oof,hddm_w,passive_detector,-0.7627118644067797,-0.8571428571428572,,-0.33333333333333337,23.333333333333332,0.030367354969106086
RBF_I,RBF_I__s118__concept__moderate,concept,moderate,d3_oof,hellinger,passive_detector,-0.0508474576271187,0.0357142857142857,,-0.33333333333333337,19.0,0.1542973549900732
RBF_I,RBF_I__s118__concept__moderate,concept,moderate,hddm_w,hellinger,passive_detector,0.711864406779661,0.8928571428571429,,0.0,-4.333333333333333,0.1239300000209671
RBF_I,RBF_I__s118__concept__severe,concept,severe,adwin,d3_oof,passive_detector,0.4576271186440679,0.7931034482758621,,0.33333333333333337,-29.0,-0.16236090047944648
RBF_I,RBF_I__s118__concept__severe,concept,severe,adwin,hddm_w,passive_detector,-0.30508474576271183,-0.10344827586206906,,0.0,-1.0,-0.1451165202403596
RBF_I,RBF_I__s118__concept__severe,concept,severe,adwin,hellinger,passive_detector,0.4067796610169492,0.7586206896551724,,0.0,-4.333333333333333,-0.0124734766238058
RBF_I,RBF_I__s118__concept__severe,concept,severe,d3_oof,hddm_w,passive_detector,-0.7627118644067797,-0.8965517241379312,,-0.33333333333333337,28.0,0.017244380239086893
RBF_I,RBF_I__s118__concept__severe,concept,severe,d3_oof,hellinger,passive_detector,-0.0508474576271187,-0.034482758620689696,,-0.33333333333333337,24.666666666666668,0.1498874238556407
RBF_I,RBF_I__s118__concept__severe,concept,severe,hddm_w,hellinger,passive_detector,0.711864406779661,0.8620689655172414,,0.0,-3.333333333333333,0.1326430436165538
RBF_I,RBF_I__s118__instance__moderate,instance,moderate,adwin,d3_oof,passive_detector,0.0847457627118644,0.0847457627118644,,0.0,-11.333333333333334,-0.1469809117649371
RBF_I,RBF_I__s118__instance__moderate,instance,moderate,adwin,hddm_w,passive_detector,-0.5254237288135594,-0.5254237288135594,,0.0,2.0,-0.1050681282746761
RBF_I,RBF_I__s118__instance__moderate,instance,moderate,adwin,hellinger,passive_detector,0.05084745762711859,0.05084745762711859,,0.0,-4.0,-0.006730983344217099
RBF_I,RBF_I__s118__instance__moderate,instance,moderate,d3_oof,hddm_w,passive_detector,-0.6101694915254238,-0.6101694915254238,,0.0,13.333333333333334,0.04191278349026101
RBF_I,RBF_I__s118__instance__moderate,instance,moderate,d3_oof,hellinger,passive_detector,-0.033898305084745804,-0.033898305084745804,,0.0,7.333333333333334,0.14024992842072
RBF_I,RBF_I__s118__instance__moderate,instance,moderate,hddm_w,hellinger,passive_detector,0.576271186440678,0.576271186440678,,0.0,-6.0,0.098337144930459
RBF_I,RBF_I__s118__instance__severe,instance,severe,adwin,d3_oof,passive_detector,0.1016949152542373,0.1016949152542373,,0.6666666666666667,-25.333333333333332,-0.1704877084315134
RBF_I,RBF_I__s118__instance__severe,instance,severe,adwin,hddm_w,passive_detector,-0.44067796610169496,-0.44067796610169496,,0.0,3.0,-0.1079463183123153
RBF_I,RBF_I__s118__instance__severe,instance,severe,adwin,hellinger,passive_detector,0.0338983050847457,0.0338983050847457,,0.0,-2.333333333333333,-0.012010554928565401
RBF_I,RBF_I__s118__instance__severe,instance,severe,d3_oof,hddm_w,passive_detector,-0.5423728813559322,-0.5423728813559322,,-0.6666666666666667,28.333333333333332,0.0625413901191981
RBF_I,RBF_I__s118__instance__severe,instance,severe,d3_oof,hellinger,passive_detector,-0.0677966101694916,-0.0677966101694916,,-0.6666666666666667,23.0,0.158477153502948
RBF_I,RBF_I__s118__instance__severe,instance,severe,hddm_w,hellinger,passive_detector,0.47457627118644063,0.47457627118644063,,0.0,-5.333333333333333,0.0959357633837499
RBF_I,RBF_I__s118__splice__moderate,splice,moderate,adwin,d3_oof,passive_detector,0.288135593220339,0.5172413793103449,,0.33333333333333337,-25.333333333333332,-0.1730402035658093
