experiment,stream,detector,method,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,malicious_recall,benign_fpr,resets_per_100k,training_visits_per_100k
E2_RL,radar,adwin,selected_map,0.2527183334777659,0.7677908657130103,0.7759159788920428,0.2324669141187608,0.7330070248720274,0.17933142390247708,6.05958327041828,94999.75820881089
E2_RL,radar,d3_oof,RL_2state,0.23585945477093717,0.719818984874489,0.5961867947347329,0.38890380033383254,0.671404542713822,0.24247667182153387,43.34477153693336,94999.75820881089
E2_RL,radar,d3_oof,RL_4state,0.234895515261543,0.7301305428797421,0.6316100223668634,0.35781923972333873,0.6821397904800078,0.2252083684300627,34.02051376186627,94999.75820881089
E2_RL,radar,d3_oof,confirmed_screened,0.255213460482907,0.80689106567868,0.8445646801917835,0.1475861336616115,0.7785340335203832,0.12120415453776391,1.1250692065597456,98037.44506652218
E2_RL,radar,d3_oof,error_rule,0.23174667680497513,0.7121974247423717,0.6054622891275758,0.3694514338124212,0.629303107737292,0.24845992389073565,21.257886587102565,94999.75820881089
E2_RL,radar,d3_oof,none_screened,0.2719570715862961,0.835037192476781,0.8657000947770106,0.13052753994793923,0.8206572971597319,0.09141287449919136,0.0,94999.75820881089
E2_RL,radar,d3_oof,selected_map,0.23173976536814164,0.7121208527495855,0.6054622891275758,0.3694514338124212,0.6293058244272769,0.24855392716229688,21.238148530847127,94999.75820881089
E2_RL,radar,hddm_w,RL_2state,0.2421214456040661,0.7460279932637572,0.6438518655982879,0.34081130659769915,0.6888271327534161,0.2098038543914755,26.33451465600022,94999.75820881089
E2_RL,radar,hddm_w,RL_4state,0.22666821782785912,0.7179831256083357,0.6261407716655149,0.361960600112991,0.638368788848427,0.23706542646624285,27.3293126912741,94999.75820881089
E2_RL,radar,hddm_w,confirmed_screened,0.22520831099694413,0.7453095096244766,0.8270009834094901,0.1781976756875391,0.6039183140441378,0.1868818507764203,6.35565411424979,112625.84244491355
E2_RL,radar,hddm_w,error_rule,0.23174667680497513,0.7121974247423717,0.6054622891275758,0.3694514338124212,0.629303107737292,0.24845992389073565,21.257886587102565,94999.75820881089
E2_RL,radar,hddm_w,none_screened,0.2719570715862961,0.835037192476781,0.8657000947770106,0.13052753994793923,0.8206572971597319,0.09141287449919136,0.0,94999.75820881089
E2_RL,radar,hddm_w,selected_map,0.2349915993558564,0.7398498444340975,0.7083579753186391,0.29193169923201756,0.6694473245126676,0.21314694958223063,11.625715134450704,94999.75820881089
E2_RL,radar,hellinger,RL_2state,0.25390826317861664,0.7774280886756351,0.7309434447558717,0.2597156701408859,0.746030919936777,0.16694477316036263,21.67238576846668,94999.75820881089
E2_RL,radar,hellinger,RL_4state,0.25241145289893235,0.7846478384987756,0.7672146507313907,0.22362654384987107,0.7492288859302908,0.15180564321371073,10.011142132756193,94999.75820881089
E2_RL,radar,hellinger,confirmed_screened,0.23769610153729884,0.7748610421309048,0.8191882991907152,0.1792066504656642,0.6962808623816239,0.15679808091638026,2.269876469374925,100400.09040029765
E2_RL,radar,hellinger,error_rule,0.23174667680497513,0.7121974247423717,0.6054622891275758,0.3694514338124212,0.629303107737292,0.24845992389073565,21.257886587102565,94999.75820881089
E2_RL,radar,hellinger,none_screened,0.2719570715862961,0.835037192476781,0.8657000947770106,0.13052753994793923,0.8206572971597319,0.09141287449919136,0.0,94999.75820881089
E2_RL,radar,hellinger,selected_map,0.22969422898248062,0.7101379433696343,0.6179334246238005,0.35926295575167516,0.6227749005392108,0.24990964893414971,20.92233963076018,94999.75820881089
E3_filter,RBF_I,adwin,confirmed_screened_filter_learned_features,0.5272373293986561,0.5319982840561293,0.6379322226366212,0.29068411255687476,,,3.085714285714286,101207.71428571429
E3_filter,RBF_I,adwin,confirmed_screened_filter_learned_features_label,0.5232168209151131,0.5293954076996112,0.6392200533370592,0.2907444720499652,,,3.3142857142857145,101241.90476190476
E3_filter,RBF_I,adwin,confirmed_screened_filter_none,0.5366254227865485,0.5418073921093597,0.6552639167369908,0.25439378173618854,,,2.857142857142857,106761.90476190476
E3_filter,RBF_I,adwin,confirmed_screened_filter_oracle_blocks,0.4663256260800934,0.474669408106329,0.0,0.5945803735172327,,,0.4761904761904762,44378.57142857143
E3_filter,RBF_I,adwin,confirmed_screened_filter_oracle_rows,0.5324727675182964,0.5379543084143599,0.0,0.22763892036920777,,,3.4285714285714284,88056.71428571429
E3_filter,RBF_I,adwin,confirmed_screened_filter_random_blocks,0.4506709788087469,0.45964015943895314,0.2286531166553439,0.6570014949148534,,,0.48571428571428577,44396.66666666667
E3_filter,RBF_I,adwin,confirmed_screened_filter_random_rows,0.51964251237203,0.5255279455607639,0.5487753116326592,0.3868084236150539,,,3.3714285714285714,88072.60952380951
E3_filter,RBF_I,adwin,none_screened_filter_learned_features,0.531590182710676,0.5359647567440734,0.6817198659800466,0.26474977123678384,,,0.0,90210.98095238095
E3_filter,RBF_I,adwin,none_screened_filter_learned_features_label,0.5278991339626095,0.5332695970676682,0.6775653707114203,0.2712026610598714,,,0.0,90191.98095238095
E3_filter,RBF_I,adwin,none_screened_filter_none,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,,,0.0,95000.0
E3_filter,RBF_I,d3_oof,confirmed_screened_filter_learned_features,0.5334927674210801,0.537755511378729,0.6624562485933388,0.27382721623155654,,,0.6000000000000002,91763.8857142857
E3_filter,RBF_I,d3_oof,confirmed_screened_filter_learned_features_label,0.5298399285339599,0.5351537479408196,0.6752538034509104,0.27559570866660255,,,0.6285714285714287,92027.81904761905
E3_filter,RBF_I,d3_oof,confirmed_screened_filter_none,0.5427351285105159,0.5470164557477768,0.6953901875392953,0.2354406487115565,,,0.5714285714285714,96809.52380952382
E3_filter,RBF_I,d3_oof,confirmed_screened_filter_oracle_blocks,0.4679234135277333,0.47585661340771807,0.0,0.5911905430087581,,,0.04761904761904762,42930.95238095238
E3_filter,RBF_I,d3_oof,confirmed_screened_filter_oracle_rows,0.5430835803078234,0.5465388278326027,0.0,0.2028265036131858,,,0.42857142857142866,80172.28571428571
E3_filter,RBF_I,d3_oof,confirmed_screened_filter_random_blocks,0.4523542504729403,0.4609080814469562,0.2294526174548447,0.6536206863929601,,,0.04761904761904762,42930.95238095238
E3_filter,RBF_I,d3_oof,confirmed_screened_filter_random_rows,0.5256717295171127,0.5301973879045441,0.567572338280044,0.3614001790070897,,,0.6666666666666667,80187.62857142858
E3_filter,RBF_I,d3_oof,none_screened_filter_learned_features,0.531590182710676,0.5359647567440734,0.6817198659800466,0.26474977123678384,,,0.0,90210.98095238095
E3_filter,RBF_I,d3_oof,none_screened_filter_learned_features_label,0.5278991339626095,0.5332695970676682,0.6775653707114203,0.2712026610598714,,,0.0,90191.98095238095
E3_filter,RBF_I,d3_oof,none_screened_filter_none,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,,,0.0,95000.0
E3_filter,RBF_I,hddm_w,confirmed_screened_filter_learned_features,0.520014299685337,0.5250030290629926,0.6207880228603808,0.2962191035300562,,,4.5809523809523816,105498.33333333334
E3_filter,RBF_I,hddm_w,confirmed_screened_filter_learned_features_label,0.5179304582729778,0.5246521310512368,0.6350872367001393,0.28690659186398554,,,4.6571428571428575,105551.20952380952
E3_filter,RBF_I,hddm_w,confirmed_screened_filter_none,0.5283252562122028,0.5335324115175809,0.6743214840720988,0.2563475700767581,,,4.0,111014.28571428571
E3_filter,RBF_I,hddm_w,confirmed_screened_filter_oracle_blocks,0.4668495145227965,0.4750665025373217,0.0,0.5965174195220752,,,0.5714285714285714,44559.52380952381
E3_filter,RBF_I,hddm_w,confirmed_screened_filter_oracle_rows,0.5282365393058536,0.5333801265032356,0.0,0.21278369687071147,,,4.6190476190476195,92784.71428571429
E3_filter,RBF_I,hddm_w,confirmed_screened_filter_random_blocks,0.4512803514680034,0.4601179705765599,0.2294526174548447,0.6589475629062773,,,0.5714285714285714,44559.52380952381
E3_filter,RBF_I,hddm_w,confirmed_screened_filter_random_rows,0.5157008283854415,0.5215379404050868,0.5503260556725561,0.37750611153605423,,,5.066666666666667,91561.99047619048
E3_filter,RBF_I,hddm_w,none_screened_filter_learned_features,0.531590182710676,0.5359647567440734,0.6817198659800466,0.26474977123678384,,,0.0,90210.98095238095
