dataset,category,mode,level,series,metric,mean,sd,defined,runs
RBF,5,splice,moderate,d3_oof,seconds_per_100k,0.9396607069298625,0.01766154377877153,3,3
RBF,5,splice,moderate,d3_oof,unexposed_alarm_rate,0.0,,1,3
RBF,5,splice,moderate,hddm_w,alarm_rate,0.5957161981258366,0.019810774547454855,3,3
RBF,5,splice,moderate,hddm_w,detection_delay,1.888888888888889,1.3471506281091268,3,3
RBF,5,splice,moderate,hddm_w,event_recall,1.0,0.0,3,3
RBF,5,splice,moderate,hddm_w,poison_alarm_rate,0.8929480779086602,0.028430916065434676,3,3
RBF,5,splice,moderate,hddm_w,seconds_per_100k,0.7624512802499036,0.07321091602460857,3,3
RBF,5,splice,moderate,hddm_w,unexposed_alarm_rate,1.0,,1,3
RBF,5,splice,moderate,hellinger,alarm_rate,0.0856760374832664,0.014103954153751994,3,3
RBF,5,splice,moderate,hellinger,detection_delay,25.333333333333332,7.881060278357925,3,3
RBF,5,splice,moderate,hellinger,event_recall,1.0,0.0,3,3
RBF,5,splice,moderate,hellinger,poison_alarm_rate,0.10775533789481635,0.023626206825695727,3,3
RBF,5,splice,moderate,hellinger,seconds_per_100k,0.06759085301309825,0.003266995351170916,3,3
RBF,5,splice,moderate,hellinger,unexposed_alarm_rate,0.0,,1,3
RBF,6,splice,severe,adwin,alarm_rate,0.28647925033467203,0.050214188309266536,3,3
RBF,6,splice,severe,adwin,detection_delay,5.0,0.3333333333333328,3,3
RBF,6,splice,severe,adwin,event_recall,1.0,0.0,3,3
RBF,6,splice,severe,adwin,poison_alarm_rate,0.6031746031746031,0.1347991983845216,3,3
RBF,6,splice,severe,adwin,seconds_per_100k,0.07941891954590878,0.007432613235881162,3,3
RBF,6,splice,severe,adwin,unexposed_alarm_rate,,,0,3
RBF,6,splice,severe,d3_oof,alarm_rate,0.02677376171352075,0.006134639484545969,3,3
RBF,6,splice,severe,d3_oof,detection_delay,38.0,9.938701010583717,3,3
RBF,6,splice,severe,d3_oof,event_recall,1.0,0.0,3,3
RBF,6,splice,severe,d3_oof,poison_alarm_rate,0.0380952380952381,0.019047619047619042,3,3
RBF,6,splice,severe,d3_oof,seconds_per_100k,0.9685450663790108,0.02513125834621728,3,3
RBF,6,splice,severe,d3_oof,unexposed_alarm_rate,,,0,3
RBF,6,splice,severe,hddm_w,alarm_rate,0.606425702811245,0.016064257028112428,3,3
RBF,6,splice,severe,hddm_w,detection_delay,1.888888888888889,0.5091750772173158,3,3
