dataset,base_key,attack_seed,category,detector,policy,accuracy_screened_minus_unscreened,macro_f1_screened_minus_unscreened,macro_recall_screened_minus_unscreened,roc_auc_screened_minus_unscreened,poison_admission_rate_screened_minus_unscreened,clean_withhold_rate_screened_minus_unscreened,resets_per_100k_screened_minus_unscreened,seconds_per_100k_screened_minus_unscreened
RADAR,radar,1,5,d3_oof,confirmed,-2.0851134720901165,-5.255572183312851,-4.9557823400495025,-0.015392250747051417,-16.32084506224789,13.41415651470509,-0.20629062636022877,55.09800902729643
RADAR,radar,1,5,d3_oof,immediate,0.21710975327948745,-1.006288518941223,-0.6486510043980709,0.017951948130730755,-19.383905510897005,17.00793811292548,-1.237743758161373,29.13936745104948
RADAR,radar,1,5,hddm_w,confirmed,-1.2693396961538261,-5.015679648799498,-5.302006832951134,0.004984910146574206,-17.967729765808638,16.285034826838547,-1.8566156372420597,11.615040484555962
RADAR,radar,1,5,hddm_w,immediate,-6.872276051826898,-17.141264707623748,-19.62719838755419,0.0069280594677287866,-49.84329202820743,38.871154776562975,-41.876997151126446,6.070479646341127
RADAR,radar,1,5,hellinger,confirmed,-2.2554693923613867,-9.732288325234235,-11.115582132427049,0.017780626289541024,-18.88766360022055,13.69087692981131,-2.6817781426829743,29.41429719880587
RADAR,radar,1,5,hellinger,immediate,1.3354399428206043,-2.996503196171163,-2.3115862276710697,0.034985601030150804,-27.526916045155115,21.40781831167268,-3.7132312744841185,19.00199565552805
RADAR,radar,1,5,none,none,0.8641398100827091,-1.2131769568773265,0.27977524965320244,0.00024656781141774164,-13.275196610464612,11.276420911974231,0.0,143.53374165813807
RADAR,radar,1,6,adwin,confirmed,-5.961382408735982,-7.332048872483893,-6.516582518406711,-0.030392251495894085,-16.111154612446597,13.647258187136199,-1.2377437581613728,13.528697996734891
RADAR,radar,1,6,adwin,immediate,-8.996082351234136,-14.270081733780588,-15.5343234051664,-0.03215337832701448,-46.240179573512904,42.19124500182807,-43.733612788368504,3.3303110243901415
RADAR,radar,1,6,d3_oof,confirmed,-0.28804660336090304,-3.8042670738207054,-4.273180418573263,0.001375700950078107,-9.864362835939078,9.39046966856824,-0.41258125272045765,117.71117981735428
RADAR,radar,1,6,d3_oof,immediate,1.9389405688920447,-7.303775186160355,-6.305039110961818,0.05895065626305729,-16.232088325111583,13.33126345661673,-3.5069406481238903,65.52215988347601
