dataset,base_key,attack_seed,category,mode,level,series,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,policy_runs,accuracy_training_seed_sd,macro_f1_training_seed_sd,macro_recall_training_seed_sd,roc_auc_training_seed_sd,poison_admission_rate_training_seed_sd,clean_withhold_rate_training_seed_sd,resets_per_100k_training_seed_sd,seconds_per_100k_training_seed_sd
RADAR,radar,2,3,concept,moderate,immediate,0.645466386972238,0.5339755706694083,0.5488685983458865,0.8319053243450886,0.5651959146314888,0.4169639703737069,40.226672140244624,95.44054159539417,1,,,,,,,,
RADAR,radar,2,3,concept,moderate,none,0.6488718933255214,0.4614113004665329,0.4649609264364696,0.9114234071027236,0.8920544522090337,0.092825298028838,0.0,293.392115386597,1,,,,,,,,
RADAR,radar,2,3,concept,moderate,rl,0.672973741157105,0.5328373626346644,0.5406357124738491,0.8457213084648109,0.5905575491663155,0.38172004483868816,27.711707474390735,119.05022643147544,3,0.01020259901526391,0.006656489568445249,0.009662340535225095,0.025465631676377984,0.03238780074944854,0.035818348678112934,6.237804666803697,11.647346673763305
RADAR,radar,2,3,concept,moderate,rl_alarm,0.6396928941224065,0.5095110829282699,0.5164975301313036,0.8320343971912093,0.6567050699055174,0.35122956623517104,34.7943523127586,208.2461935597514,3,0.007949246491214692,0.041655633528369373,0.0446320080244972,0.06875289936466607,0.2038185438398209,0.22378466071301198,30.132793011074778,208.73014649574594
RADAR,radar,2,4,concept,severe,confirmed,0.6575504417742113,0.50893336477481,0.5088844457648847,0.8920629322230619,0.8254616369065757,0.1485398982309357,8.045334428048923,182.0567432073534,1,,,,,,,,
RADAR,radar,2,4,concept,severe,immediate,0.6026176887545054,0.4650635002929572,0.484770540510136,0.8320110308507996,0.5901291103314383,0.4173779090344703,44.14619404108897,109.31557539613016,1,,,,,,,,
RADAR,radar,2,4,concept,severe,none,0.637462662363139,0.4378750182385013,0.4543022966027134,0.8909749658841221,0.9240486492604232,0.0711513133083068,0.0,295.2619932006831,1,,,,,,,,
RADAR,radar,2,4,concept,severe,rl,0.6733765429838373,0.5326286435662891,0.542451029065372,0.86777402081638,0.6378845523217515,0.3919511152628454,28.94945123255211,139.11851731361955,3,0.00791861970760984,0.006937487301091518,0.007687956265477375,0.013263641416620517,0.005125063442280864,0.030089676224886498,3.2639149659877176,6.692324335555402
RADAR,radar,2,4,concept,severe,rl_alarm,0.6098105785175847,0.45260990721273614,0.46826714827087884,0.8310227141363083,0.6866237749899154,0.33929210351743433,35.75704190243966,226.71962433790227,3,0.023947407077827304,0.012760788173630635,0.012093916304712743,0.051920173027686686,0.205615972608586,0.2322167361119381,30.9665066516974,204.32030820587914
RADAR,radar,2,5,splice,moderate,confirmed,0.6298041964626676,0.5127573206767425,0.5034514245241622,0.8391157346192637,0.7823069999709665,0.1901919478651271,6.395009417167093,86.84087758096724,1,,,,,,,,
RADAR,radar,2,5,splice,moderate,immediate,0.583168114835139,0.4840105210042575,0.4742930797238417,0.7384651786328007,0.5106698022820312,0.3927572252411827,31.97504708583547,43.11013782277977,1,,,,,,,,
RADAR,radar,2,5,splice,moderate,none,0.7064516297780405,0.529055256600629,0.5432230795722179,0.927263436767394,0.949714020265366,0.056788309584083,0.0,189.4070978621905,1,,,,,,,,
RADAR,radar,2,5,splice,moderate,rl,0.5926435482830353,0.4484092428617312,0.438581353353029,0.754562443691477,0.5742095636268618,0.3804547126071958,28.124288727111196,54.35737838308975,3,0.016127957817100337,0.03473256089920865,0.031032066378480563,0.017046756183712295,0.028707886805596126,0.04156938426619778,10.53160285863304,9.705131235451173
RADAR,radar,2,5,splice,moderate,rl_alarm,0.6197847189890546,0.4788180561250268,0.4692390929448423,0.7808120736240922,0.6600470342304677,0.31858721183716887,36.30715023940027,129.93499362217582,3,0.07505574641078147,0.043506691826883194,0.06407201189255549,0.12683060090095924,0.2508589685438941,0.2267245000340515,31.4429144463389,159.38313966931534
RADAR,radar,2,6,splice,severe,confirmed,0.6294118570210451,0.5026275356627954,0.4878598601185444,0.8270920177486273,0.8001183813096803,0.1841900650454622,5.982428164446636,134.32687104568004,1,,,,,,,,
RADAR,radar,2,6,splice,severe,immediate,0.5873687624567773,0.4614057785449922,0.4484658227566347,0.7381915884114771,0.5306442206418704,0.4251135829547234,36.71973149212073,55.38698561949932,1,,,,,,,,
RADAR,radar,2,6,splice,severe,none,0.6865626356840568,0.4950376777323181,0.4876938349894613,0.9093572689258576,0.9369880661194432,0.0671952698429276,0.0,252.2005594189173,1,,,,,,,,
