condition,stream,mode,level,detector,granularity,accuracy_oracle_minus_random,macro_f1_oracle_minus_random,macro_recall_oracle_minus_random,roc_auc_oracle_minus_random,poison_admission_rate_oracle_minus_random,legitimate_withhold_rate_oracle_minus_random,filter_poison_recall_oracle_minus_random,filter_legitimate_rejection_oracle_minus_random,scored_resets_oracle_minus_random,total_seconds_oracle_minus_random
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,hddm_w,rows,0.05149810869998006,0.05440718167540415,0.05612640130562019,0.03569765164887517,-0.5534100477126017,-0.1698188333665141,0.8465618860510806,-0.1501244276328887,-5,3.7369967920003546
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,hddm_w,blocks,0.027807087397969332,0.027383775357625817,0.02752545783073934,0.025942371128161112,-0.454448498456357,-0.07586103921958981,0.6738142015155768,-0.11949034441568779,-1,2.8732395419992827
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,hellinger,rows,0.03499402747362135,0.035571771259767626,0.03638558257500357,0.022554396112770214,-0.6209374122930115,-0.14047382042604029,0.8465618860510806,-0.1501244276328887,-2,1.8540136669998937
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,hellinger,blocks,0.012049571968942852,0.010967923601429064,0.009860695505444661,0.008299162043411079,-0.4730002806623631,-0.08387915588293848,0.6738142015155768,-0.11949034441568779,1,-0.6065378749990487
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,d3_oof,rows,0.026921162651801667,0.026298089695594662,0.02571107089370439,0.014237967148320707,-0.5973337075498175,-0.1393987656778817,0.8465618860510806,-0.1501244276328887,0,2.514321917000416
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,d3_oof,blocks,0.01597650806291062,0.015607121471441499,0.016904256023181352,0.018298088578170613,-0.5245018243053606,-0.12138164443559629,0.6738142015155768,-0.11949034441568779,0,1.2381088330002967
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,adwin,rows,0.037111447210998016,0.03901525878550138,0.04339107632193384,0.02814484037455678,-0.5379249924183711,-0.28671640443350865,0.7491491727600499,-0.2509368157294747,-2,3.4178137090020755
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,adwin,blocks,0.019966590667960915,0.020912875219850635,0.023855448410021962,0.016606050844734432,-0.3131212723658051,-0.13169033161019433,0.549718637328571,-0.1841350820560283,0,0.6302337089982757
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,hddm_w,rows,0.05820673152892841,0.05998453816589644,0.061837727336751525,0.04093398761785294,-0.4170569801529804,-0.12759317366080508,0.7491491727600499,-0.2509368157294747,-6,1.151814333999937
RBF_I__base_s1__splice__severe__a1,RBF_I,splice,severe,hddm_w,blocks,0.007313934851802539,0.006924053106871941,0.00888549638280911,0.005886076900731174,-0.3131212723658051,-0.17994198514639154,0.549718637328571,-0.1841350820560283,1,0.7704338750008901
