condition,stream,mode,level,base_key,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,roc_auc
SEA_A__base_s2__instance__moderate__a2,SEA_A,instance,moderate,SEA_A__base_s2,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39594729989766897,,
SEA_A__base_s2__instance__moderate__a2,SEA_A,instance,moderate,SEA_A__base_s2,7.0,0.0005030648911436009,0.0005040947598518031,0.0063358564620128455,-0.0036041417761847883,-17.0,0.0,-0.6206756997853518,,
SEA_A__base_s2__instance__severe__a2,SEA_A,instance,severe,SEA_A__base_s2,17.0,0.0027774254914393337,0.003916192807113417,-0.019522703557844467,0.02026737122597841,1.0,0.0,-8.135772899957374,,
SEA_A__base_s2__instance__severe__a2,SEA_A,instance,severe,SEA_A__base_s2,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914947600103913,,
SEA_A__base_s2__instance__severe__a2,SEA_A,instance,severe,SEA_A__base_s2,7.0,0.0007271190023251384,0.0007172736685191472,0.006058770069675812,-0.003330849310118955,-11.0,0.0,0.4646021998487395,,
SEA_A__base_s2__splice__moderate__a2,SEA_A,splice,moderate,SEA_A__base_s2,17.0,0.0200846192135391,0.02341425027025623,-0.30743338008415166,0.2622697859631657,9.0,0.0,-21.679103400092572,,
SEA_A__base_s2__splice__moderate__a2,SEA_A,splice,moderate,SEA_A__base_s2,27.0,0.000323544051766933,0.000372026444459328,0.016409537166900412,0.0029118964659033963,-4.0,0.0,-0.08520589978434145,,
SEA_A__base_s2__splice__moderate__a2,SEA_A,splice,moderate,SEA_A__base_s2,7.0,-3.4843205575008085e-05,-6.374971785039207e-05,0.023113604488078532,-0.005355898456943786,-19.0,0.0,0.2561584000941366,,
SEA_A__base_s2__splice__severe__a2,SEA_A,splice,severe,SEA_A__base_s2,17.0,0.01078395392823861,0.012674597268537702,-0.1499453184150753,0.14277729159020972,10.0,0.0,-18.848557599820197,,
SEA_A__base_s2__splice__severe__a2,SEA_A,splice,severe,SEA_A__base_s2,27.0,0.0005307286226461372,0.0005197128058553879,-0.014604189450660443,0.01119046946898905,-7.0,0.0,-0.2976492000743747,,
SEA_A__base_s2__splice__severe__a2,SEA_A,splice,severe,SEA_A__base_s2,7.0,-0.0005081444259380508,-0.0006181788112721298,0.040363422225961065,-0.02400135505180251,-15.0,0.0,0.019561999943109143,,
radar__clean__none__anone,radar,clean,none,radar,17.0,-0.020717417557908013,0.03846508883796085,,0.2439263216302373,51.0,0.0,-1114.10994939995,-0.10702849608481557,-0.1060098149498977
radar__clean__none__anone,radar,clean,none,radar,27.0,0.021302753690990328,0.018941592968155674,,-0.006201516651616279,-50.0,0.0,14.706984299933538,0.04749347469257059,0.02737725017685122
radar__clean__none__anone,radar,clean,none,radar,7.0,0.04831090270146765,0.03681790633188048,,-0.039276272126902656,-122.0,0.0,63.34332600026394,0.12446519387562904,0.07469248854291544
radar__concept__moderate__a0,radar,concept,moderate,radar,17.0,0.034533154848898295,0.09773876309263985,-0.2239356450020329,0.24501851818672782,113.0,0.0,-1598.566778599983,-0.07025225632480558,-0.011900771566568769
radar__concept__moderate__a0,radar,concept,moderate,radar,27.0,0.048265023790814876,0.050605682137731145,0.08911250508218616,-0.06210183339006958,-97.0,0.0,100.14503189991228,0.02796423521496194,0.05125575646173697
radar__concept__moderate__a0,radar,concept,moderate,radar,7.0,0.06632249543764102,0.07211899222287382,0.07980484404948596,-0.06860559461680021,-109.0,0.0,132.11011629994022,0.05717424557013928,0.07785172466195067
radar__concept__moderate__a1,radar,concept,moderate,radar,17.0,0.015188590384142775,0.051436186732746914,-0.25123045428807866,0.25722827422393324,94.0,0.0,-1508.4922795002349,-0.05778690011558418,-0.031966573422200995
