stream,mode,level,detector,filter,accuracy_difference,macro_f1_difference,macro_recall_difference,roc_auc_difference,poison_admission_rate_difference,legitimate_withhold_rate_difference,filter_poison_recall_difference,filter_legitimate_rejection_difference,scored_resets_difference,total_seconds_difference,matched_assignments
SEA_A,splice,severe,d3_oof,oracle_rows,-0.0034661337588373087,-0.004235446256565282,-0.0053205821957688455,-0.0017439804775842098,-0.8851830671912181,-0.016750552127987574,1.0,0.0,-0.3333333333333333,-0.8231491939992944,3
SEA_A,splice,severe,d3_oof,random_blocks,-0.011902111888980308,-0.014018278076847598,-0.016897235837493214,-0.005401398235096962,-0.7272722704856274,0.7303606265348387,0.8054097895356858,0.7935387300800322,-0.6666666666666666,-5.100303374999082,3
SEA_A,splice,severe,d3_oof,random_rows,-0.0061637864770709054,-0.006937247148009955,-0.007711150653589145,-0.0022829325846439965,-0.20733523371460635,0.2134273905654046,0.25017937059308576,0.25139144636144345,-0.3333333333333333,-0.9008407640000465,3
SEA_A,splice,severe,hddm_w,learned_features,-0.008820120414840297,-0.010195993273233913,-0.011932234788138355,-0.0021623359857179114,-0.004475294086333181,0.01229736215586176,0.05041403104632957,0.0501368856927795,-1.0,1.5033365556664648,3
SEA_A,splice,severe,hddm_w,learned_features_label,-0.008308667664022199,-0.009651757694636665,-0.011469854276523953,-0.004216154938867771,0.02596905693008263,-0.009154811546622796,0.048601369660936034,0.049132025043547765,-1.0,-0.5056362776667805,3
SEA_A,splice,severe,hddm_w,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
SEA_A,splice,severe,hddm_w,oracle_blocks,-0.015551767584764842,-0.01886106638084284,-0.023514127269636826,-0.009748540568817651,-0.8472694317674999,0.6436574796357721,1.0,0.7283008482366871,-1.0,-4.397406000000653,3
SEA_A,splice,severe,hddm_w,oracle_rows,-0.003438742063819148,-0.00420344523414277,-0.005271950765719143,-0.0015640547275057963,-0.8472694317674999,-0.038624112479755605,1.0,0.0,-0.6666666666666666,-0.609923624667014,3
SEA_A,splice,severe,hddm_w,random_blocks,-0.012220849006552256,-0.014375127510615501,-0.017296565685682164,-0.005239216393523538,-0.6893586350619092,0.7144728372790574,0.8054097895356858,0.7935387300800322,-1.0,-4.6098316110007245,3
SEA_A,splice,severe,hddm_w,random_rows,-0.009652235818633318,-0.01073115643101552,-0.011333804215604334,-0.002952188337556024,-0.16365374997350488,0.18631863192321188,0.25017937059308576,0.25139144636144345,-1.0,-0.28637491700101236,3
SEA_A,splice,severe,hellinger,learned_features,-0.0008804021611277987,-0.0007999762459381202,-0.00018095798824676232,0.0003698767254833128,0.011379807525580396,-0.006089838390114705,0.05041403104632957,0.0501368856927795,-0.6666666666666666,0.33855252733337693,3
