stream,mode,level,detector,filter,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,scored_resets,total_seconds
RBF_I,concept,severe,hddm_w,random_rows,0.5884092514620155,0.5855386221776936,0.5857083401171143,0.8092206098888749,0.4475754289103187,0.45963301142940277,0.2512566492726558,0.25103767630734747,3.0,17.430375069333724
RBF_I,concept,severe,hellinger,learned_features,0.61306695048119,0.6103332572440473,0.6105050738589809,0.8252913224879938,0.6158525187700888,0.31127857670696235,0.0644432595637859,0.057385098328710006,1.6666666666666667,20.609802735665653
RBF_I,concept,severe,hellinger,learned_features_label,0.6350053543198736,0.6338879569377648,0.6353681316039909,0.8399222106629308,0.5576350790974655,0.28686948258099815,0.03416674251139184,0.02599603361202446,1.3333333333333333,22.18237362466607
RBF_I,concept,severe,hellinger,none,0.6481297951055636,0.6467609084714651,0.6472582089905211,0.8466502222557598,0.6584669947276348,0.25550709835197893,0.0,0.0,0.3333333333333333,23.978940486000283
RBF_I,concept,severe,hellinger,oracle_blocks,0.6150910975476933,0.6136963767390894,0.6137074478110224,0.829428492076787,0.0,0.438722710065927,1.0,0.2277904919255085,0.6666666666666666,16.596442430667594
RBF_I,concept,severe,hellinger,oracle_rows,0.6653766330981886,0.6646374194011752,0.6645577367973704,0.8576829718581616,0.0,0.21455166923130445,1.0,0.0,0.3333333333333333,22.769758208666342
RBF_I,concept,severe,hellinger,random_blocks,0.6174335212321629,0.6156135449746185,0.6164201795611349,0.8234583458760832,0.4029826790245681,0.5648904835282881,0.42083054597163233,0.4219711840826812,0.0,16.62624287533193
RBF_I,concept,severe,hellinger,random_rows,0.6265809571904132,0.6255648389891632,0.6269229426786099,0.8346058417165064,0.47078333248944465,0.4590514153859111,0.2512566492726558,0.25103767630734747,0.3333333333333333,19.794113541667077
RBF_I,instance,moderate,adwin,learned_features,0.6462974705840908,0.645317585654937,0.6435719930097799,0.8483924967495694,0.7093443941492135,0.2892609141982352,0.05668671032988584,0.055207336055555396,0.6666666666666666,24.022192180666632
RBF_I,instance,moderate,adwin,learned_features_label,0.6511421123088846,0.6501222843089374,0.6506528687015024,0.8496765165453927,0.7691598174942024,0.24348559042366894,0.010903878300761465,0.025140118591019663,0.0,31.90951080533402
RBF_I,instance,moderate,adwin,none,0.6695525963503135,0.66900811755018,0.6691172932158778,0.8601774592908026,0.794062764495875,0.20462104942130419,0.0,0.0,0.3333333333333333,26.678797194666306
RBF_I,instance,moderate,adwin,oracle_blocks,0.33126329880927213,0.32191446312140654,0.3371141366212333,0.5901519526686322,0.0,1.0,1.0,1.0,0.0,8.058230833334164
RBF_I,instance,moderate,adwin,oracle_rows,0.6685253293877264,0.6681803427038308,0.6681401588624557,0.8637105052947232,0.0,0.24356361244764368,1.0,0.0,0.0,26.32785206966643
RBF_I,instance,moderate,adwin,random_blocks,0.33126329880927213,0.32191446312140654,0.3371141366212333,0.5901519526686322,0.0,1.0,1.0,1.0,0.0,8.016156569333058
RBF_I,instance,moderate,adwin,random_rows,0.6604551539491298,0.6600651586822522,0.6608016581501885,0.8579793237478227,0.6672015881177096,0.3314486879973681,0.15207078756128287,0.1503353656635366,0.0,25.179443624999596
RBF_I,instance,moderate,d3_oof,learned_features,0.6578397801733248,0.6571089758272235,0.657079492809091,0.8536793251846083,0.7569323597269987,0.24227131003442878,0.05668671032988584,0.055207336055555396,0.0,34.588032375000694
RBF_I,instance,moderate,d3_oof,learned_features_label,0.657307123229761,0.6562064612508406,0.6563299205367783,0.853791272826169,0.7592318600852378,0.2527673608389403,0.010903878300761465,0.025140118591019663,0.3333333333333333,24.79041463866694
RBF_I,instance,moderate,d3_oof,none,0.6582244768547876,0.6580066334600704,0.6581736156674217,0.8538166011757232,0.7606862352780898,0.2365281431637438,0.0,0.0,0.3333333333333333,32.27612669466665
RBF_I,instance,moderate,d3_oof,oracle_blocks,0.33126329880927213,0.32191446312140654,0.3371141366212333,0.5901519526686322,0.0,1.0,1.0,1.0,0.0,10.317990458333952
RBF_I,instance,moderate,d3_oof,oracle_rows,0.6630832100331149,0.6626090983524797,0.662765988401293,0.8604191783061275,0.0,0.22503861606537715,1.0,0.0,0.3333333333333333,29.01943770833289
RBF_I,instance,moderate,d3_oof,random_blocks,0.33126329880927213,0.32191446312140654,0.3371141366212333,0.5901519526686322,0.0,1.0,1.0,1.0,0.0,10.300463652666926
RBF_I,instance,moderate,d3_oof,random_rows,0.6442936658916367,0.6434306651123342,0.6441583923865819,0.8474431690685916,0.6537441829932346,0.34361214568634524,0.15207078756128287,0.1503353656635366,0.0,30.83163026400022
RBF_I,instance,moderate,hddm_w,learned_features,0.6336743465088425,0.6329390951242958,0.6317459358635431,0.8402673116616316,0.6373224365522853,0.3599544518132194,0.05668671032988584,0.055207336055555396,2.0,22.102129458333366
RBF_I,instance,moderate,hddm_w,learned_features_label,0.6363954061861481,0.635186610590048,0.636113510300112,0.8420463410013491,0.7012697877862553,0.30995203794109716,0.010903878300761465,0.025140118591019663,1.3333333333333333,24.83621597199999
RBF_I,instance,moderate,hddm_w,none,0.6454533925174383,0.6440576488120346,0.6437025281053756,0.847299302919367,0.7570241264622575,0.24533495345692882,0.0,0.0,2.3333333333333335,24.948814847000296
RBF_I,instance,moderate,hddm_w,oracle_blocks,0.33126329880927213,0.32191446312140654,0.3371141366212333,0.5901519526686322,0.0,1.0,1.0,1.0,0.0,8.664073361000192
RBF_I,instance,moderate,hddm_w,oracle_rows,0.6269118579581484,0.6259181197013507,0.626015304249586,0.8395685644129541,0.0,0.30083460583843474,1.0,0.0,3.3333333333333335,19.138825278000393
RBF_I,instance,moderate,hddm_w,random_blocks,0.33126329880927213,0.32191446312140654,0.3371141366212333,0.5901519526686322,0.0,1.0,1.0,1.0,0.0,8.665416013999979
RBF_I,instance,moderate,hddm_w,random_rows,0.6178961459874586,0.6170486131846897,0.6166489282413748,0.8312555247794977,0.5990534968331054,0.4007478583608792,0.15207078756128287,0.1503353656635366,3.3333333333333335,19.538975916333584
RBF_I,instance,moderate,hellinger,learned_features,0.6585189882336363,0.6575546175708473,0.6564197444265939,0.852531347255229,0.7294497346943665,0.2690025319200495,0.05668671032988584,0.055207336055555396,0.3333333333333333,32.48630979166713
RBF_I,instance,moderate,hellinger,learned_features_label,0.6554710068343549,0.6544720974216218,0.6553879658762808,0.8517276072153918,0.7942932553115898,0.2170579135398855,0.010903878300761465,0.025140118591019663,0.0,27.25597551366627
