dataset,detector,policy,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
RADAR,hddm_w,confirmed,macro_recall,-4.540009712929913,-7.5491141275753755,-2.0489331414390635,7,0
RADAR,hddm_w,confirmed,poison_admission_rate,-16.216099149281384,-19.619289095968174,-13.318665827234488,6,0
RADAR,hddm_w,confirmed,resets_per_100k,-1.5127979266416784,-1.9941427214822125,-0.893926047560992,7,0
RADAR,hddm_w,confirmed,roc_auc,-0.0016329226358669274,-0.019901311029609164,0.019609715245739883,7,2
RADAR,hddm_w,confirmed,seconds_per_100k,17.99089664513925,12.27349363487341,26.482042112121917,7,7
RADAR,hddm_w,immediate,accuracy,-7.159624845448088,-10.860156196469665,-4.390502552757081,7,0
RADAR,hddm_w,immediate,clean_withhold_rate,37.155819968403414,31.139113331895274,42.15811589121396,7,7
RADAR,hddm_w,immediate,macro_f1,-15.901698470346798,-19.481140211186155,-12.720801369328804,7,0
RADAR,hddm_w,immediate,macro_recall,-17.656392382854552,-20.298614260599532,-14.663435784461235,7,0
RADAR,hddm_w,immediate,poison_admission_rate,-40.811506956515224,-47.99246997652435,-31.074875149912287,6,0
RADAR,hddm_w,immediate,resets_per_100k,-37.69224444496181,-44.490011751689345,-28.26181581135135,7,0
RADAR,hddm_w,immediate,roc_auc,-0.0036127715911260993,-0.0320844465910363,0.014773359331526978,7,4
RADAR,hddm_w,immediate,seconds_per_100k,10.445654616645161,6.02068890755222,16.882281890637316,7,7
RADAR,hellinger,confirmed,accuracy,-1.2945150133357723,-3.4929968068205994,-0.38406531094051416,7,0
RADAR,hellinger,confirmed,clean_withhold_rate,15.061214133525576,12.936188992138172,17.553031503302357,7,7
RADAR,hellinger,confirmed,macro_f1,-3.7490720336118986,-7.754025385450883,-1.0960212948656605,7,0
RADAR,hellinger,confirmed,macro_recall,-3.8989618485329585,-9.18345117942479,-1.1810284360051695,7,0
RADAR,hellinger,confirmed,poison_admission_rate,-16.51792137521952,-19.068437743962836,-14.386629906111834,6,0
RADAR,hellinger,confirmed,resets_per_100k,-0.8153391422809044,-1.512797926641678,0.0,7,0
RADAR,hellinger,confirmed,roc_auc,-0.0014800417701733416,-0.01924831371209949,0.019073803329916778,7,4
RADAR,hellinger,confirmed,seconds_per_100k,30.282226092951593,24.972095672079593,42.501626085887274,7,7
RADAR,hellinger,immediate,accuracy,-3.3261901976205395,-5.938697058549743,-0.2736958610261501,7,0
RADAR,hellinger,immediate,clean_withhold_rate,20.499621524704178,18.157855763492904,22.325459945818334,7,7
RADAR,hellinger,immediate,macro_f1,-8.514223409094717,-14.94923776862476,-5.446855662846734,7,0
RADAR,hellinger,immediate,macro_recall,-8.957657642057411,-16.025830013952532,-4.906972927864217,7,0
RADAR,hellinger,immediate,poison_admission_rate,-21.454142349970613,-27.356101925284303,-18.015663785614723,6,0
RADAR,hellinger,immediate,resets_per_100k,-3.664114458684064,-4.538393779925033,-1.9253791793621355,7,0
RADAR,hellinger,immediate,roc_auc,0.01449466530642386,-0.027994420798090596,0.05413205870390755,7,5
